video_name,original_frames,final_frames,output_npy
IR_ORACION_2,60,42,./full_videos_output/IR_ORACION_2_full.npy
IR_ORACION_3,69,39,./full_videos_output/IR_ORACION_3_full.npy
IR_ORACION_4,118,101,./full_videos_output/IR_ORACION_4_full.npy
IR_ORACION_5,116,108,./full_videos_output/IR_ORACION_5_full.npy
EL_ORACION_1,114,109,./full_videos_output/EL_ORACION_1_full.npy
ELLA_ORACION_1,76,61,./full_videos_output/ELLA_ORACION_1_full.npy
ELLA_ORACION_2,248,172,./full_videos_output/ELLA_ORACION_2_full.npy
IX-OCULTO_ORACION_1,247,125,./full_videos_output/IX-OCULTO_ORACION_1_full.npy
JOVEN_ORACION_1,187,167,./full_videos_output/JOVEN_ORACION_1_full.npy
JOVEN_ORACION_2,282,233,./full_videos_output/JOVEN_ORACION_2_full.npy
JOVEN_ORACION_3,131,111,./full_videos_output/JOVEN_ORACION_3_full.npy
JUGAR_ORACION_1,103,53,./full_videos_output/JUGAR_ORACION_1_full.npy
JUGAR_ORACION_2,142,71,./full_videos_output/JUGAR_ORACION_2_full.npy
JUNTOS_ORACION_1,120,72,./full_videos_output/JUNTOS_ORACION_1_full.npy
LANCHA_ORACION_1,182,174,./full_videos_output/LANCHA_ORACION_1_full.npy
LENTES_ORACION_1,138,73,./full_videos_output/LENTES_ORACION_1_full.npy
LENTES-DE-SOL_ORACION_1,196,133,./full_videos_output/LENTES-DE-SOL_ORACION_1_full.npy
LO-SIENTO_ORACION_1,166,104,./full_videos_output/LO-SIENTO_ORACION_1_full.npy
LO-SIENTO_ORACION_2,188,157,./full_videos_output/LO-SIENTO_ORACION_2_full.npy
LUEGO_ORACION_1,87,47,./full_videos_output/LUEGO_ORACION_1_full.npy
LUEGO_ORACION_2,78,35,./full_videos_output/LUEGO_ORACION_2_full.npy
MANDAR_ORACION_1,149,156,./full_videos_output/MANDAR_ORACION_1_full.npy
MANDAR_ORACION_2,91,57,./full_videos_output/MANDAR_ORACION_2_full.npy
MATRIMONIO_ORACION_1,85,41,./full_videos_output/MATRIMONIO_ORACION_1_full.npy
MATRIMONIO_ORACION_2,99,66,./full_videos_output/MATRIMONIO_ORACION_2_full.npy
MUCHO_ORACION_1,125,83,./full_videos_output/MUCHO_ORACION_1_full.npy
MUCHO-DINERO_ORACION_1,111,62,./full_videos_output/MUCHO-DINERO_ORACION_1_full.npy
MUCHO-DINERO_ORACION_2,117,66,./full_videos_output/MUCHO-DINERO_ORACION_2_full.npy
PELOTA_ORACION_1,77,49,./full_videos_output/PELOTA_ORACION_1_full.npy
PERDER_ORACION_1,88,48,./full_videos_output/PERDER_ORACION_1_full.npy
PERSONA-PEQUEеA_ORACION_1,105,43,./full_videos_output/PERSONA-PEQUEеA_ORACION_1_full.npy
PERSONA-PEQUEеA_ORACION_2,104,43,./full_videos_output/PERSONA-PEQUEеA_ORACION_2_full.npy
PERSONA-PEQUEеA_ORACION_3,113,75,./full_videos_output/PERSONA-PEQUEеA_ORACION_3_full.npy
PILA_ORACION_1,158,102,./full_videos_output/PILA_ORACION_1_full.npy
PREGUNTAR_ORACION_2,255,197,./full_videos_output/PREGUNTAR_ORACION_2_full.npy
PRESENTE_ORACION_1,225,126,./full_videos_output/PRESENTE_ORACION_1_full.npy
PUERTA_ORACION_1,151,125,./full_videos_output/PUERTA_ORACION_1_full.npy
SUBIR-PERSONA_ORACION_1,116,86,./full_videos_output/SUBIR-PERSONA_ORACION_1_full.npy
SUDAR_ORACION_1,248,176,./full_videos_output/SUDAR_ORACION_1_full.npy
SUDAR_ORACION_2,189,144,./full_videos_output/SUDAR_ORACION_2_full.npy
SUDAR_ORACION_3,114,69,./full_videos_output/SUDAR_ORACION_3_full.npy
TELEFONO_ORACION_1,107,56,./full_videos_output/TELEFONO_ORACION_1_full.npy
TELEFONO_ORACION_2,113,63,./full_videos_output/TELEFONO_ORACION_2_full.npy
VER_ORACION_1,172,145,./full_videos_output/VER_ORACION_1_full.npy
